target_name,high,low,medium
ADRA1A,0.8972424351932665,0.8972424351932665,0.8972424351932665
ADRA2A,1.1264297094601696,1.1264297094601694,1.1264297094601698
ADRB1,1.005578169220514,1.0292972518844041,1.0120694860377553
ADRB2,0.9942905802543348,0.9942905802543349,0.9942905802543348
ALDH1A1,0.8749593211396609,0.8749593211396608,0.8749593211396611
CHRM1,1.0681941979459488,1.0681941979459486,1.0681941979459486
CHRM2,1.0413212787496249,1.041321278749625,1.0413212787496253
CHRM3,0.9979673013066767,0.9979673013066768,0.9979673013066768
CHRNA7,0.9467036911508381,0.9467036911508382,0.946703691150838
CNR2,0.730916817489122,0.7309168174891217,0.7309168174891219
CYP1A2,0.7350201125595159,0.735020112559516,0.7350201125595158
CYP2B6,0.5427408391578876,0.5427408391578873,0.5427408391578873
CYP2C19,0.39248520879562354,0.3924852087956236,0.39248520879562343
CYP2C9,0.5733282981776178,0.573328298177618,0.5733282981776179
CYP2D6,0.8327379199394221,0.8327379199394221,0.8327379199394221
CYP3A4,0.661656851847618,0.6615288871203961,0.6616568518476181
HRH1,1.056748522389983,1.0353809223212893,1.0461305921196216
HSD11B1,0.6873196687285877,0.6873196687285876,0.6873196687285876
HTR2B,0.9080230311965114,0.8902129696845968,0.9080230311965115
KCNH2,0.7403043754380707,0.7403043754380705,0.7403043754380705
MAOA,1.0922579971316262,1.0922579971316264,1.0922579971316262
MAOB,1.1368752586734656,1.1395043251278485,1.1368752586734654
NR1I2,0.7229019068672159,0.7229019068672159,0.7229019068672159
NR1I3,0.6900813958800902,0.6900813958800905,0.6900813958800901
SCN5A,0.7309330962044664,0.7309330962044663,0.7309330962044668
SLC6A2,0.8600743130271088,0.8600743130271086,0.8600743130271086
SLC6A3,0.8734703626175451,0.6877978220497486,0.8734703626175462
SLC6A4,0.7398438197485616,0.7398438197485616,0.7398438197485615
SLCO2B1,0.3374123542280489,0.33741235422804894,0.3374123542280488
XDH,0.6499641275143997,0.6265756203475277,0.6499641275143995
